,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,BCH-USD,0.005497712040435719,13.0
1,UMA-USD,COMP-USD,0.05019515813618604,14.0
2,UMA-USD,ALGO-USD,15.535844169295144,13.0
3,UMA-USD,FIL-USD,0.43137427652348814,5.0
4,UMA-USD,MATIC-USD,3.9825860116759375,22.0
5,UMA-USD,CRV-USD,5.969405539688307,7.0
6,UMA-USD,CELO-USD,3.3762882760352504,8.0
7,UMA-USD,1INCH-USD,6.500605005481019,10.0
8,UMA-USD,AVAX-USD,0.07658183828241773,12.0
9,UMA-USD,SNX-USD,0.919249082693259,9.0
10,UMA-USD,UNI-USD,0.34949438708520214,18.0
11,SOL-USD,ZEC-USD,6.430081273775429,6.0
12,SOL-USD,LINK-USD,10.071672885965432,8.0
13,SOL-USD,YFI-USD,0.020790401749468,10.0
14,SOL-USD,COMP-USD,2.5001712131164626,24.0
15,SOL-USD,ALGO-USD,774.0297876060877,17.0
16,SOL-USD,ADA-USD,300.4079704040169,8.0
17,SOL-USD,ZRX-USD,268.62911501160943,22.0
18,SOL-USD,ATOM-USD,16.5595000769926,11.0
19,SOL-USD,LTC-USD,1.762677955696401,7.0
20,ZEC-USD,ETC-USD,0.8174512809235486,9.0
21,ZEC-USD,LINK-USD,1.5660498215881251,6.0
22,ZEC-USD,YFI-USD,0.003232322685280262,14.0
23,ZEC-USD,COMP-USD,0.38886925224078234,16.0
24,ZEC-USD,ALGO-USD,120.38057927292675,11.0
25,ZEC-USD,DOT-USD,3.218273531987718,5.0
26,ZEC-USD,CELO-USD,26.142610451689613,20.0
27,ZEC-USD,ADA-USD,46.715226403702474,6.0
28,ZEC-USD,ZRX-USD,41.78552520643339,15.0
29,ZEC-USD,AVAX-USD,0.5932230220499779,19.0
30,ZEC-USD,SNX-USD,7.117748336489879,23.0
31,ZEC-USD,XLM-USD,205.89588109840585,20.0
32,ZEC-USD,LTC-USD,0.2740735108073684,7.0
33,AAVE-USD,ENJ-USD,270.275952516643,7.0
34,ETC-USD,XTZ-USD,26.461926414937924,6.0
35,ETC-USD,LINK-USD,1.9153161863942119,5.0
36,ETC-USD,YFI-USD,0.003952569655484051,20.0
37,ETC-USD,COMP-USD,0.47555413176286915,17.0
38,ETC-USD,ALGO-USD,147.2291633625168,11.0
39,ETC-USD,DOT-USD,3.935570127829787,10.0
40,ETC-USD,ADA-USD,57.12922203691526,7.0
41,ETC-USD,AVAX-USD,0.7256006634319948,23.0
42,ETC-USD,SNX-USD,8.705555968235059,21.0
43,ETC-USD,ATOM-USD,3.1490587067027564,11.0
44,XTZ-USD,LINK-USD,0.07235785699609293,8.0
45,XTZ-USD,DOGE-USD,6.53934519049999,10.0
46,XTZ-USD,ENJ-USD,2.9397336281453232,23.0
47,XTZ-USD,AVAX-USD,0.027411114585199122,19.0
48,LINK-USD,YFI-USD,0.0020635173509317593,21.0
49,LINK-USD,COMP-USD,0.24829032688192404,18.0
50,LINK-USD,ALGO-USD,76.86510648979167,11.0
51,LINK-USD,ADA-USD,29.8261522198997,7.0
52,LINK-USD,AVAX-USD,0.3788242170456348,23.0
53,LINK-USD,LTC-USD,0.17497271634054665,12.0
54,BCH-USD,AVAX-USD,13.916215801121886,14.0
55,XMR-USD,YFI-USD,0.01645086305721431,24.0
56,XMR-USD,TRX-USD,1089.3945150842308,5.0
57,XMR-USD,BTC-USD,0.0018805660019476202,7.0
58,XMR-USD,ETH-USD,0.03824260993475793,8.0
59,YFI-USD,DOGE-USD,43753.76983081993,16.0
60,YFI-USD,DOT-USD,994.8808593118589,18.0
61,YFI-USD,ATOM-USD,795.8247302600337,24.0
62,YFI-USD,LTC-USD,84.74126848958377,12.0
63,RUNE-USD,COMP-USD,0.09965308249446475,20.0
64,RUNE-USD,ALGO-USD,30.8422215793444,21.0
65,RUNE-USD,CRV-USD,11.851235661142214,9.0
66,RUNE-USD,AVAX-USD,0.15203853162781034,18.0
67,DOGE-USD,ENJ-USD,0.44905157373921045,22.0
68,COMP-USD,ALGO-USD,309.50084817267964,3.0
69,COMP-USD,FIL-USD,8.585600332194856,17.0
70,COMP-USD,NEAR-USD,10.019987169594847,8.0
71,COMP-USD,DOT-USD,8.268964993945144,21.0
72,COMP-USD,CELO-USD,67.23593551605354,4.0
73,COMP-USD,ZRX-USD,107.44400592015043,7.0
74,ALGO-USD,FIL-USD,0.02773305958399229,17.0
75,ALGO-USD,MATIC-USD,0.2564087554426162,7.0
76,ALGO-USD,CRV-USD,0.38376536285567187,24.0
77,ALGO-USD,NEAR-USD,0.03236841614245968,9.0
78,ALGO-USD,DOT-USD,0.026717571963114355,11.0
79,ALGO-USD,CELO-USD,0.21720661653843323,6.0
80,ALGO-USD,ADA-USD,0.3877881273969078,13.0
81,ALGO-USD,ZRX-USD,0.3470959127725554,7.0
82,ALGO-USD,AVAX-USD,0.004928344300062858,6.0
83,ALGO-USD,SNX-USD,0.05914017785679203,6.0
84,ALGO-USD,LTC-USD,0.002274504745641532,20.0
85,FIL-USD,CELO-USD,7.826418935092396,6.0
86,FIL-USD,ZRX-USD,12.504304827260714,11.0
87,FIL-USD,AVAX-USD,0.1775099218663264,15.0
88,FIL-USD,SNX-USD,2.130602850282347,10.0
89,MATIC-USD,AVAX-USD,0.01921355829164367,15.0
90,MATIC-USD,SNX-USD,0.23054002945173904,16.0
91,TRX-USD,BTC-USD,1.726121937584308e-06,6.0
92,CRV-USD,CELO-USD,0.565479688720876,12.0
93,CRV-USD,AVAX-USD,0.012827328228626032,18.0
94,CRV-USD,SNX-USD,0.15395678852338743,14.0
95,NEAR-USD,CELO-USD,6.702100445505651,11.0
96,NEAR-USD,ZRX-USD,10.712642000917056,9.0
97,NEAR-USD,XLM-USD,52.7582833073757,18.0
98,DOT-USD,CELO-USD,8.122923929478343,17.0
99,DOT-USD,ADA-USD,14.513590645406934,7.0
100,DOT-USD,ZRX-USD,12.983359235317307,16.0
101,DOT-USD,AVAX-USD,0.18433439744927954,19.0
102,DOT-USD,SNX-USD,2.211576740491412,21.0
103,BTC-USD,ETH-USD,20.331314426882198,14.0
104,CELO-USD,AVAX-USD,0.022681287189334133,8.0
105,ADA-USD,XLM-USD,4.406924206931394,22.0
106,AVAX-USD,SNX-USD,11.996416161999772,9.0
107,ATOM-USD,LTC-USD,0.10631440204575927,15.0
